# SAstep                 <H>               error
231          -0.0364235           0.0151984
232           -0.190422           0.0143675
233           -0.137095           0.0125378
234           -0.194689           0.0107195
235           -0.189356           0.0132827
236           -0.244528           0.0116573
237           -0.161371           0.0165543
238           -0.238074          0.00971807
239           -0.307645          0.00983463
240           -0.150976            0.015056
241           -0.349208          0.00657458
242           -0.362723            0.004526
243           -0.374273          0.00829345
244           -0.413274          0.00517508
245           -0.433698           0.0029935
246            -0.42684          0.00293256
247           -0.405054          0.00401913
248            -0.41173          0.00502819
249           -0.416183          0.00612349
250           -0.419584          0.00463796
251            -0.41143          0.00811231
252           -0.397154          0.00663031
253           -0.437212          0.00384801
254           -0.426647          0.00422463
255           -0.397214          0.00644968
256            -0.35721          0.00616556
257           -0.399954          0.00447014
258           -0.369877          0.00656584
259           -0.381568          0.00771827
260           -0.368467          0.00846433
261           -0.370554          0.00531061
262           -0.339641           0.0059634
263           -0.360167           0.0103359
264           -0.378553          0.00597376
265           -0.374912          0.00584334
266           -0.389254          0.00737228
267           -0.401341          0.00590836
268           -0.393695          0.00385351
269           -0.367191          0.00400058
270           -0.365291          0.00683014
271           -0.390544           0.0043649
272           -0.395749          0.00391105
273           -0.379503          0.00464199
274           -0.393937          0.00357298
275           -0.352314          0.00571664
276           -0.351749          0.00560884
277            -0.38277          0.00495566
278           -0.375159          0.00609164
279           -0.370194          0.00480314
280            -0.37373          0.00728245
281           -0.407714          0.00663483
282           -0.388883          0.00675706
283           -0.393969          0.00696604
284           -0.391919          0.00433664
285           -0.425825          0.00377395
286            -0.42967          0.00451376
287           -0.430194          0.00509556
288           -0.438323          0.00354138
289           -0.429883          0.00293677
290           -0.431331          0.00354057
291           -0.434501          0.00470055
292           -0.433319           0.0043187
293           -0.407697           0.0037246
294           -0.389713           0.0063457
295           -0.431236          0.00478191
296           -0.440821          0.00223833
297           -0.403659          0.00358095
298           -0.411708          0.00431352
299           -0.376603          0.00416949
300           -0.350615          0.00392674
301           -0.318076          0.00588227
302           -0.328869          0.00783511
303           -0.363995          0.00643406
304           -0.262227           0.0119706
305           -0.258995           0.0110493
306           -0.277966           0.0102962
307           -0.251492           0.0111474
308           -0.338565          0.00829382
309           -0.413618          0.00578682
310           -0.410899          0.00596351
311           -0.438705          0.00283903
312           -0.435886          0.00455852
313           -0.431698          0.00394263
314           -0.443707          0.00249267
315           -0.439119          0.00398012
316           -0.425922          0.00468633
317           -0.409835          0.00664964
318           -0.436066          0.00460099
319           -0.438724          0.00263921
320           -0.440377          0.00364401
321           -0.425881          0.00534844
322           -0.429117          0.00297975
323           -0.430581          0.00446756
324           -0.407525          0.00293229
325            -0.39494          0.00543155
326           -0.385178          0.00698098
327            -0.40573           0.0066794
328           -0.420368          0.00478876
329           -0.385438           0.0106574
330           -0.414555          0.00545098
331           -0.380228          0.00436281
332           -0.408391          0.00434296
333           -0.416229          0.00371595
334           -0.400452          0.00564893
335           -0.413319          0.00438502
336           -0.367092          0.00917547
337           -0.407334          0.00794064
338           -0.331296           0.0126853
339           -0.385055          0.00652136
340           -0.416175          0.00498811
341           -0.436227          0.00390537
342           -0.439389          0.00436673
343           -0.446477          0.00379687
344           -0.437012          0.00479574
345           -0.436715          0.00493699
346           -0.435426           0.0037337
347           -0.402705           0.0129683
348           -0.426141          0.00642903
349           -0.409573          0.00700398
350           -0.397405          0.00669595
351           -0.381549          0.00831272
352           -0.358717          0.00755164
353           -0.399432          0.00796261
354           -0.370789          0.00810603
355           -0.395066           0.0094131
356           -0.352734          0.00818041
357           -0.362198          0.00887613
358           -0.407557           0.0076173
359           -0.379471           0.0070655
360           -0.423048           0.0049246
361            -0.41559          0.00405223
362            -0.38421          0.00818425
363           -0.357304          0.00805131
364           -0.297741           0.0163296
365           -0.341752          0.00819027
366           -0.378963          0.00694528
367           -0.393361          0.00580316
368            -0.32117           0.0110335
369           -0.370247          0.00922648
370           -0.336809           0.0103311
371           -0.372058          0.00595114
372           -0.365802           0.0061198
373           -0.335372          0.00589561
374           -0.314622          0.00967786
375           -0.337769           0.0051084
376           -0.340318          0.00517412
377           -0.362082          0.00597846
378           -0.343026          0.00487247
379           -0.379448            0.005424
380           -0.384368           0.0046079
381            -0.41501          0.00577232
382           -0.412585           0.0042197
383           -0.401437          0.00615957
384           -0.406187          0.00664809
385           -0.441024          0.00366837
386           -0.433338          0.00406687
387           -0.427202           0.0041048
388            -0.41373          0.00684339
389           -0.360822           0.0141955
390           -0.328292          0.00918286
391           -0.323801           0.0113327
392           -0.326169           0.0157998
393           -0.318499           0.0104996
394           -0.387212          0.00766206
395           -0.376877          0.00781132
396           -0.419526          0.00570864
397           -0.432899          0.00436072
398           -0.431677          0.00379651
399           -0.424484          0.00340584
400           -0.440101          0.00319608
401            -0.42864          0.00359919
402           -0.438636          0.00314847
403           -0.389316          0.00566122
404           -0.296305          0.00997674
405           -0.318191          0.00910618
406           -0.395925          0.00588518
407           -0.386274          0.00654328
408           -0.375967          0.00763997
409           -0.291826          0.00734593
410           -0.273285           0.0102619
411           -0.348002          0.00778767
412           -0.381455          0.00806362
413           -0.364655          0.00720199
414           -0.312383          0.00859108
415           -0.367963          0.00834182
416           -0.415896          0.00444501
417           -0.409452          0.00570561
418           -0.400429          0.00401742
419           -0.347092          0.00536608
420           -0.349611           0.0065298
421           -0.335205            0.006035
422           -0.384984          0.00396353
423           -0.341265          0.00677148
424           -0.345766          0.00832924
425           -0.406781            0.006211
426           -0.379201          0.00489154
427           -0.356031          0.00623239
428           -0.325347          0.00648242
429           -0.303713          0.00797442
430           -0.319022          0.00934821
431           -0.284334           0.0119152
432           -0.270469           0.0123796
433           -0.185765            0.017286
434           -0.193546           0.0138232
435           -0.207494           0.0165459
436           -0.237453           0.0149935
437            -0.20494           0.0117088
438          -0.0771677           0.0150024
439           -0.142034           0.0197953
440           -0.164513           0.0166505
441           -0.120892           0.0180359
442          -0.0759455           0.0208726
443           -0.100401           0.0159371
444          -0.0398484           0.0201534
445          -0.0533287           0.0102581
446          -0.0837159           0.0179089
447           -0.233709          0.00836354
448           -0.272884           0.0131142
449           -0.333783           0.0092401
450           -0.345926          0.00885489
451           -0.319454           0.0108471
452           -0.330067          0.00957015
453           -0.330953           0.0141599
454           -0.322845           0.0120367
455           -0.334077           0.0109233
456           -0.234603           0.0159373
457          -0.0972176            0.027842
458           -0.199371            0.018026
459            -0.20316           0.0146963
460           -0.244016           0.0158672
461          -0.0477062           0.0231116
462          0.00901905           0.0380277
463           0.0255891            0.027374
464         -0.00874181           0.0289575
465            0.171266           0.0326588
466           0.0297914           0.0254769
467             0.10238           0.0482664
468            0.213996           0.0452364
469            0.147573           0.0429925
470            0.129003           0.0268509
471           0.0309379           0.0380892
472           -0.084513           0.0209565
473           -0.125917           0.0248745
474            -0.22093           0.0230434
475           -0.240286           0.0242866
476           -0.178992           0.0142298
477           -0.185003           0.0189704
478           -0.221907           0.0166895
479           -0.280771           0.0109984
480           -0.308808           0.0151163
481           -0.372229           0.0122806
482            -0.35108          0.00861227
483           -0.329083           0.0146191
484           -0.328637          0.00919972
485            -0.28457           0.0167426
486           -0.286547           0.0177797
487           -0.310341           0.0218795
488           -0.329503           0.0168384
489           -0.335025           0.0142238
490           -0.338815          0.00991685
491           -0.211266           0.0214869
492           -0.169586           0.0209499
493           -0.126634           0.0175846
494          -0.0825168           0.0245071
495          -0.0604884           0.0287682
496           0.0218896            0.033902
497          -0.0708337           0.0320363
498          0.00302104           0.0324852
