#mu               sigma
0.408903            0.624205
0.415112            0.671101
0.445991            0.667291
0.418809            0.697297
0.437705            0.734846
0.416857            0.686272
0.413098            0.653578
0.44388            0.656688
0.490871             0.66455
0.524452            0.700985
0.573612            0.663984
0.597675            0.671172
0.614427            0.656763
0.641583             0.69331
0.691313            0.729486
0.726394            0.699969
0.693804            0.721923
0.658826            0.678077
0.60908            0.636091
0.590401            0.685453
0.621047            0.686748
0.638457            0.713164
0.62873            0.688514
0.638783            0.657285
0.604218             0.69577
0.586864            0.708292
0.598686            0.725314
0.61896            0.709026
0.584085            0.755506
0.567936            0.792788
0.599075            0.748905
0.566246            0.727886
0.609627            0.704461
0.583705            0.677269
0.625889            0.697932
0.601588            0.672011
0.601588            0.672011
0.566986            0.628798
0.541572            0.620382
0.529261            0.623226
0.510605             0.60725
0.52101            0.572562
0.540521            0.571123
0.553206            0.593854
0.521868            0.596579
0.568915            0.599355
0.608033            0.641995
0.597361            0.652057
0.646203            0.608876
0.632112            0.611587
0.611771            0.631254
0.613291            0.616026
0.624343             0.60424
0.670767            0.579298
0.675753            0.614317
0.720021            0.585655
0.736952            0.572066
0.705329            0.536631
0.72775            0.532329
0.726968            0.516864
0.698052            0.528452
0.681076            0.499402
0.666764            0.487901
0.695785            0.497966
0.670887            0.500165
0.719694            0.454152
0.766312            0.440395
0.777417            0.467593
0.760428            0.515843
0.722439            0.476483
0.762116            0.516292
0.712354            0.492449
0.700951            0.490063
0.666867            0.505264
0.623705            0.540872
0.630512            0.568368
0.612017             0.53194
0.625672            0.498779
0.665897            0.467677
0.622451            0.475787
0.608976            0.525419
0.648842            0.551153
0.657049            0.573478
0.656054            0.581618
0.698121            0.544613
0.735494            0.537119
0.752712            0.504649
0.726373            0.508102
0.733422            0.522722
0.771013            0.512467
0.729967            0.501815
0.733903            0.509755
0.733807            0.503794
0.778526            0.469939
0.735736            0.450742
0.710611            0.456697
0.670389            0.430365
0.674881            0.404748
0.690882            0.411865
0.647141            0.447478
0.660488            0.451271
0.689425             0.43132
0.655511            0.430226
0.631771            0.385989
0.588445            0.384856
0.637809            0.407798
0.6865            0.455356
0.725757            0.439854
0.766453            0.436158
0.780193            0.449466
0.818353            0.441618
0.844837            0.454964
0.826716            0.437832
0.821165            0.467393
0.805063            0.512477
0.777296            0.510222
0.815611            0.495799
0.843002            0.536904
0.869151            0.581497
0.84664            0.616072
0.84664            0.616072
0.874217            0.640346
0.910669             0.65774
0.91762            0.629555
0.946592            0.589855
0.915123            0.572989
0.879886            0.593611
0.847848            0.560362
0.896312            0.543414
0.920546            0.591217
0.897121            0.614782
0.935123            0.567208
0.915016            0.609893
0.879904            0.601939
0.832965            0.575015
0.78751            0.543145
0.755018            0.579798
0.794209            0.594111
0.837494            0.583506
0.879285            0.610161
0.836339            0.613465
0.852358            0.659141
0.855723            0.625281
0.864466            0.623145
0.879385            0.658969
0.86616            0.658017
0.835039            0.630073
0.878304            0.626374
0.90392            0.584226
0.922746            0.597257
0.90244            0.577444
0.91149            0.541245
0.943013            0.556321
0.902107            0.522137
0.866875            0.554257
0.886332            0.532799
0.924617            0.540015
0.9593            0.500153
0.98198            0.533598
1.02746            0.494205
0.980413            0.542837
0.934338            0.580092
0.915829            0.591329
0.907428            0.589472
0.912235            0.575423
0.889223            0.536638
0.863805            0.574954
0.853739            0.563663
0.898191            0.575596
0.897925            0.606638
0.891354            0.600917
0.874801            0.594692
0.898088            0.635654
0.891866            0.653215
0.879492            0.604154
0.855327            0.652007
0.816233            0.643153
0.844257            0.601732
0.888334            0.638784
0.882261            0.625727
0.878793            0.595081
0.899225            0.594487
0.914181            0.603419
0.878965            0.606436
0.906486            0.622288
0.90811            0.653097
0.88201            0.668877
0.878793            0.712673
0.865112            0.703057
0.846761            0.732245
0.877738            0.698269
0.88796            0.708951
0.852443            0.721286
0.804969            0.721112
0.825051            0.710364
0.838035            0.713273
0.838828            0.754969
0.825964            0.736802
0.787278            0.740495
0.806581             0.75631
0.843224            0.758896
0.823655            0.759468
0.810964             0.77584
0.797588            0.732514
0.762923            0.773759
0.765883            0.779652
0.760784            0.743861
0.735683            0.693922
0.694608             0.71536
0.720796            0.756675
0.720796            0.756675
0.724167            0.780783
0.750759            0.743663
0.704603            0.747961
0.734321            0.764954
0.684878             0.71906
0.654284            0.722007
0.606448            0.717976
0.617716            0.745872
0.649183            0.731799
0.655502            0.711841
0.643979            0.712852
0.673045             0.74717
0.716237             0.75165
0.690768            0.730352
0.738421            0.724329
0.76134             0.75304
0.789876            0.703142
0.810399            0.713016
0.793515            0.691999
0.768572             0.64641
0.762798             0.62766
0.724187            0.590321
0.764881            0.573249
0.753305            0.602909
0.750945            0.630585
0.718988            0.654674
0.754278            0.694732
0.760071            0.719492
0.784471             0.74098
0.752358            0.732645
0.717162            0.758048
0.720433            0.731723
0.742722            0.720746
0.750896            0.717505
0.723            0.725848
0.695639            0.742126
0.739371            0.704699
0.735055            0.685151
0.734734            0.638411
0.748943            0.681168
0.793239            0.631391
0.8217            0.625474
0.831166            0.601732
0.803148            0.602552
0.786029            0.564831
0.821638            0.527177
0.82256            0.491425
0.819048            0.512784
0.861059            0.543296
0.822128            0.555913
0.839021            0.538636
0.871011             0.55646
0.87765            0.548591
0.850154            0.549753
0.822222            0.530674
0.83305            0.570229
0.817999             0.56267
0.835392            0.568285
0.8799            0.538664
0.916741            0.569331
0.89179            0.589166
0.877068            0.619975
0.917381            0.612491
0.873703            0.646902
0.860399            0.626224
0.811865            0.663876
0.79403             0.67802
0.810362            0.718834
0.803227            0.759263
0.789942            0.803342
0.767312            0.788618
0.812101            0.750397
0.802721            0.782352
0.754287            0.819867
0.731253            0.860957
0.732704            0.814798
0.724895             0.78058
0.758695            0.816767
0.725291            0.830914
0.735579            0.829496
0.699234            0.823957
0.74612            0.826433
0.748913              0.7878
0.748913              0.7878
0.705865            0.761364
0.748753            0.754938
0.794668            0.743225
0.841248            0.761362
0.835803             0.78153
0.844904            0.732105
0.810507            0.738264
0.811544            0.716753
0.822538            0.732662
0.784067            0.699156
0.791205             0.67829
0.811796            0.640365
0.793314            0.643047
0.841619            0.625507
0.859902            0.638039
0.813063            0.659964
0.764277            0.651225
0.758451            0.696587
0.769119            0.648479
0.724061            0.660226
0.6919            0.664925
0.662174            0.683133
0.648128            0.652911
0.616435            0.686975
0.588011            0.695452
0.542571            0.724781
0.589189            0.684156
0.605108            0.679789
0.577642            0.690723
0.570716            0.675667
0.58794            0.667564
0.628221            0.622393
0.664516            0.577651
0.6826            0.556654
0.697562            0.569349
0.670688            0.561658
0.630958            0.515462
0.636106            0.492471
0.619599            0.522227
0.656046            0.488441
0.636119            0.507764
0.675884            0.463236
0.65965            0.496047
0.641215            0.500969
0.676352            0.502919
0.629711             0.49405
0.65994            0.486465
0.670985            0.489641
0.653379            0.492455
0.647185             0.45592
0.61066             0.42762
0.634923            0.403823
0.631124            0.399457
0.59525            0.403734
0.602735            0.358203
0.634425            0.371888
0.587318            0.373906
0.57985            0.412221
0.568658             0.44004
0.584264            0.462229
0.618496            0.508473
0.65698            0.492153
0.693049            0.474645
0.708938            0.502226
0.700227            0.476935
0.651453            0.515452
0.606347            0.471208
0.60866            0.426793
0.574826            0.421401
0.524846            0.423666
0.489808            0.456582
0.539632            0.429123
0.497814             0.40516
0.493693            0.426261
0.501608            0.383734
0.454145            0.401197
0.485097            0.381187
0.487132            0.392748
0.50244            0.380778
0.512943            0.429753
0.512943            0.429753
0.539984            0.456143
0.567581            0.453408
0.519164            0.494394
0.544115            0.498247
0.592791            0.521332
0.626596             0.52386
0.581157            0.551201
0.590538            0.511726
0.636537            0.496773
0.635393            0.525404
0.625499            0.508353
0.618451            0.549898
0.654857            0.525477
0.639946            0.487037
0.644141            0.484813
0.614775            0.435942
0.57633            0.438171
0.538453            0.476281
0.57866            0.494107
0.559548            0.486004
0.515735             0.46188
0.497944            0.470959
0.534798            0.489439
0.553941            0.510166
0.552811             0.53263
0.569511            0.572502
0.534934            0.541695
0.574309            0.525948
0.620865            0.534556
0.647922            0.567184
0.683437             0.55004
0.69059            0.575687
0.71514            0.596075
0.759006            0.557866
0.773032            0.556999
0.758364            0.564301
0.799647            0.540146
0.758951            0.576431
0.79475            0.604557
0.828999            0.603275
0.823307            0.621349
0.86307            0.607591
0.890429            0.630536
0.891466            0.645516
0.933988            0.639406
0.955227            0.625435
0.946879            0.673212
0.978596            0.692608
0.972658            0.658764
0.988871            0.634762
0.973072            0.653581
0.992969              0.6264
0.98362            0.594628
0.992747            0.563571
1.03165            0.558373
1.04218            0.514892
1.04935            0.552446
1.05149            0.594473
1.02901            0.630377
0.994848            0.597111
0.999156            0.582908
1.03283             0.56639
1.05066            0.598767
1.01154             0.62593
1.03096            0.587137
1.00688            0.620269
1.03731            0.587501
1.05546            0.581247
1.00761            0.607836
1.04191            0.627601
1.04291            0.614642
1.04424            0.614633
1.04424            0.614633
0.996446            0.626687
1.01718            0.613707
0.986163            0.632155
1.0122            0.591706
0.989483            0.616158
0.939747            0.591569
0.916977            0.621371
0.891746            0.575976
0.923928            0.613041
0.889857            0.622271
0.887089            0.660865
0.916391            0.689438
0.903688            0.694671
0.855211            0.699819
0.888069            0.711561
0.876032            0.674346
0.843139            0.667312
0.879713            0.691991
0.917384            0.708193
0.893564            0.737842
0.898562             0.75967
0.871965            0.739947
0.869723            0.778527
0.830779            0.796426
0.81629            0.754296
0.79725            0.764814
0.767415            0.743126
0.756265            0.771592
0.755509            0.816072
0.744528            0.767547
0.698364            0.741744
0.700487            0.776515
0.65205            0.744921
0.646446            0.777833
0.694713            0.780226
0.673518            0.756869
0.6326            0.750592
0.661921            0.767938
0.637884            0.718298
0.64417            0.687927
0.600787            0.638496
0.589669            0.607838
0.584217            0.596657
0.594372            0.623236
0.567663            0.623707
0.608233             0.58396
0.596869            0.613125
0.588893            0.632514
0.616801            0.639573
0.658465            0.618408
0.634655            0.576608
0.632642             0.54084
0.626685            0.530919
0.672238            0.509856
0.716339            0.511535
0.697888            0.542696
0.666871            0.494429
0.622399            0.534973
0.574826            0.542402
0.588101            0.553126
0.579578            0.570194
0.628808            0.603078
0.649316            0.610801
0.657677             0.60536
0.672995             0.64742
0.707886             0.60484
0.669062              0.5589
0.698952            0.529972
0.678075            0.533421
0.715123            0.522377
0.744693             0.53152
0.700492            0.536065
0.674923            0.572933
0.717617            0.539045
0.697713            0.575331
0.691366            0.553785
0.720831            0.584384
0.68932            0.562681
0.702351            0.572467
0.684103            0.616099
0.688513            0.661564
0.730752            0.698681
0.72453            0.676121
0.72453            0.676121
0.7211             0.67145
0.678605            0.646469
0.655126            0.607333
0.676255            0.632081
0.637907            0.675794
0.604109            0.640507
0.603389            0.633577
0.580655            0.642152
0.567677            0.690279
0.541921            0.701974
0.500637            0.713113
0.504            0.745801
0.491553            0.780527
0.530903            0.754023
0.494189            0.769501
0.454119            0.773937
0.447489            0.770883
0.428773            0.767072
0.423354            0.737039
0.441275            0.770576
0.427136            0.800584
0.392097            0.771855
0.420275            0.794288
0.444916            0.771769
0.488772            0.791977
0.512499            0.819268
0.520247            0.814743
0.475478            0.856314
0.45469            0.841357
0.441758            0.879025
0.42773            0.897833
0.42435            0.939566
0.449233            0.935274
0.451423             0.90286
0.441581            0.896779
0.449427            0.946748
0.447656            0.897575
0.475304            0.921532
0.461334            0.908624
0.420442            0.910759
0.45864            0.908525
0.48199            0.946066
0.509148            0.902019
0.52002            0.864174
0.553602            0.814947
0.583136             0.86401
0.536739             0.89835
0.55546             0.90323
0.546515            0.859939
0.568573            0.904394
0.563254            0.942954
0.562605            0.980019
0.583889            0.948798
0.553874            0.974389
0.522835            0.934034
0.568636            0.903077
0.599788            0.878087
0.565308            0.832313
0.603294            0.798069
0.565274            0.831559
0.58389            0.818074
0.575724            0.816097
0.541841            0.860577
0.499978            0.878499
0.451303            0.834735
0.448105            0.833796
0.457005            0.845263
0.419482            0.853426
0.387873            0.864819
0.407226            0.889372
0.369151             0.92937
0.395158            0.894143
0.36235            0.936455
0.319919            0.942386
0.360037            0.913483
0.312711            0.921737
0.275213            0.885621
0.250975             0.87501
0.269405            0.846505
0.310132            0.838764
0.315614            0.825316
0.306237            0.796244
0.291148            0.821902
0.316353            0.836125
0.306715            0.824885
0.300609            0.856055
0.311513            0.891708
0.306464            0.894744
0.296844            0.920824
0.324035            0.953432
0.30944            0.996414
0.30944            0.996414
0.314278            0.964855
0.325468            0.982167
0.3132             1.03205
0.27611             1.03236
0.257761            0.999759
0.208715            0.984058
0.255643            0.969032
0.254546            0.991605
0.298338            0.969918
0.291476            0.970651
0.263919            0.959259
0.278711             1.00852
0.310507            0.985046
0.271623            0.959208
0.320467             1.00434
0.365634            0.962566
0.412411            0.921182
0.414108            0.913502
0.415857            0.909403
0.445657            0.955102
0.467755             1.00142
0.418546            0.997715
0.439678             1.00559
0.442108            0.957521
0.441867             0.98625
0.490614            0.942343
0.450675            0.956769
0.445972            0.962458
0.41959            0.951591
0.388961            0.914509
0.429801            0.887689
0.403929            0.889363
0.372993            0.930114
0.403243            0.966827
0.420354            0.919224
0.385677            0.957401
0.426493            0.989837
0.448677            0.963523
0.45338            0.953383
0.428176            0.962624
0.434007            0.931253
0.44617             0.92044
0.477647            0.965208
0.44118            0.915484
0.448308            0.921979
0.404183            0.937334
0.435601            0.906845
0.432696            0.888405
0.425187            0.845743
0.395357            0.892404
0.444914            0.859752
0.403878             0.83863
0.39864            0.791297
0.439922            0.833719
0.434778             0.80835
0.466545            0.799824
0.475253            0.816615
0.508727            0.823458
0.529564            0.861111
0.492561            0.855944
0.484419            0.905766
0.481326            0.900928
0.439416            0.918952
0.443669            0.941231
0.489205            0.941927
0.456389            0.955393
0.462197             1.00359
0.497628              1.0066
0.461609            0.969889
0.50762             0.96475
0.495613            0.947404
0.460093            0.978364
0.437459             1.01374
0.393218             1.05569
0.402126             1.07853
0.367845             1.04667
0.376043             1.01061
0.405639            0.970476
0.455425             0.97124
0.416561            0.960048
0.444463            0.957541
0.446417            0.963674
0.401864            0.964386
0.440236            0.943661
0.401496            0.898293
0.44233            0.866814
0.478188            0.916413
0.447952            0.923735
0.49386            0.890039
0.502396            0.907769
0.520958            0.909639
0.520958            0.909639
0.569102            0.909441
0.605886            0.868012
0.640996            0.863921
0.68459            0.813923
0.717913            0.853258
0.721413            0.894432
0.685783            0.915595
0.685782            0.871622
0.653546            0.832909
0.689619            0.858606
0.655003            0.899358
0.626973            0.901089
0.648407            0.913434
0.648518            0.909304
0.609054             0.91462
0.626645            0.870378
0.64921            0.872376
0.66677            0.838212
0.665307            0.813854
0.715055            0.846762
0.736734            0.806214
0.764449            0.775054
0.806333            0.765032
0.811096            0.814339
0.807427            0.775246
0.803687            0.735625
0.779496            0.712248
0.741949            0.740437
0.779536            0.700578
0.820459            0.651868
0.84905            0.604836
0.896532            0.565233
0.855415            0.528263
0.840899            0.563839
0.826936            0.531292
0.789223            0.544835
0.837437            0.552935
0.818224            0.571026
0.790991            0.612689
0.828898            0.591027
0.794005            0.552007
0.746705            0.558391
0.731883            0.604435
0.728519            0.618797
0.737413            0.632762
0.756504            0.625283
0.708591            0.651255
0.712641            0.669654
0.737556            0.690206
0.738522            0.676001
0.739223            0.707495
0.700052            0.679847
0.656238            0.646039
0.700155            0.626241
0.72236            0.660083
0.736154            0.637778
0.695106            0.676421
0.712909            0.631259
0.699585            0.673845
0.712921            0.698551
0.6883            0.681617
0.665543            0.646947
0.63503            0.626043
0.640176            0.645375
0.637651            0.606058
0.641063            0.647046
0.687105            0.635632
0.707758            0.641383
0.73218            0.679925
0.764423              0.7125
0.785207            0.703954
0.755958             0.70271
0.724572            0.684925
0.702552            0.657767
0.671807            0.635151
0.653457            0.642002
0.687325            0.645175
0.720308            0.670336
0.713611            0.636328
0.75493            0.656154
0.734685            0.682161
0.723216            0.663675
0.699602            0.689146
0.726737            0.681698
0.740325            0.660128
0.701577            0.612338
0.724219            0.621426
0.722007            0.624863
0.767264            0.649712
0.767264            0.649712
0.779848            0.648099
0.733212            0.619338
0.777056            0.645622
0.756176            0.617057
0.727208            0.598106
0.718328            0.584803
0.688434             0.56614
0.64654            0.588227
0.638178            0.634145
0.637571            0.642522
0.685009            0.617125
0.647574            0.654444
0.680197            0.662678
0.696762            0.656598
0.720215            0.697451
0.683738             0.65546
0.699739            0.668155
0.682247            0.659919
0.678221            0.689177
0.724952            0.731106
0.708206            0.745812
0.704816            0.725281
0.723456            0.738947
0.727507            0.740676
0.730254            0.695933
0.689661            0.699375
0.688601            0.652976
0.676908            0.614405
0.715827            0.566314
0.692602            0.553451
0.696184            0.518154
0.680176            0.535028
0.720025            0.502171
0.751819            0.512646
0.788112            0.493703
0.790478            0.531142
0.805541            0.549234
0.761124            0.525102
0.74961            0.515923
0.719429            0.527181
0.688519             0.56303
0.694567            0.534595
0.646367            0.571161
0.658333            0.580435
0.640449            0.575608
0.603633            0.584081
0.602302            0.606668
0.60387            0.619642
0.628924            0.660959
0.618319            0.640667
0.600533            0.677282
0.634592            0.722194
0.668918            0.682161
0.664483            0.725532
0.647626               0.712
0.677806            0.688822
0.648819            0.650296
0.686866            0.656311
0.735425            0.614786
0.72482            0.646072
0.708323            0.657583
0.667655            0.683246
0.662055            0.657004
0.679626            0.682459
0.707181            0.681904
0.673936            0.698627
0.705131            0.730427
0.707932            0.732156
0.69537            0.722267
0.659036            0.681049
0.619298            0.725734
0.646773            0.690201
0.605908            0.706307
0.607428            0.754404
0.573048            0.758753
0.572859            0.715284
0.558431            0.755143
0.589589            0.763658
0.546591            0.762031
0.586916            0.780872
0.586916            0.780872
0.612154            0.736352
0.64907            0.731068
0.663685            0.775434
0.657543            0.774294
0.680438            0.729269
0.695646            0.701806
0.677707            0.709748
0.703083            0.662853
0.740164             0.64777
0.759781            0.689098
0.789465            0.659851
0.813855            0.654226
0.792105            0.644238
0.803152            0.637033
0.851462             0.60579
0.855779            0.587138
0.880403            0.620432
0.833858              0.5763
0.881404            0.563447
0.876209            0.561943
0.836125            0.547027
0.843651            0.552117
0.854421            0.552998
0.892102            0.539727
0.893504            0.544851
0.890327            0.527731
0.87098            0.573355
0.897013             0.58225
0.856306             0.55576
0.846606            0.566799
0.837851            0.534085
0.813066            0.524402
0.797455            0.566504
0.797025            0.564136
0.803673            0.560575
0.807128            0.524397
0.811122              0.5517
0.847691            0.569202
0.863639             0.57694
0.85552            0.579127
0.904482            0.587045
0.887567             0.60033
0.843918            0.628403
0.839939            0.609608
0.852464             0.59721
0.816723            0.625487
0.775684            0.611056
0.775255            0.646519
0.783628            0.629402
0.829003            0.586137
0.824045            0.592011
0.778721            0.631468
0.797824            0.612992
0.833829            0.638817
0.837043            0.631694
0.83033            0.672009
0.843651            0.667847
0.870821            0.642885
0.859734            0.624835
0.899077            0.630208
0.853995            0.648107
0.87601            0.673192
0.915864            0.722894
0.879235             0.71337
0.901152            0.731191
0.851517            0.698618
0.852561            0.651702
0.814563            0.656481
0.774981            0.680191
0.811612            0.631071
0.783175            0.646862
0.831677            0.615506
0.803595            0.663773
0.816215            0.695357
0.798514            0.661798
0.779195            0.624554
0.759927            0.660471
0.754016            0.691583
0.723448            0.699685
0.769407             0.66828
0.801322            0.626961
0.751663            0.637803
0.773597            0.652215
0.791805            0.677439
0.84175            0.718729
0.850203            0.712146
0.845829            0.736158
0.822016            0.750079
0.781108            0.706688
0.750999            0.670748
0.776101            0.664323
0.730602            0.673446
0.682312            0.624575
0.7115            0.656854
0.731439            0.625096
0.735808            0.602345
0.750602            0.581339
0.712162            0.615556
0.671687            0.614773
0.7111            0.578376
0.716957            0.626879
0.716764            0.612288
0.683984            0.635427
0.695994            0.660623
0.702935              0.6859
0.746244            0.693456
0.715172            0.729367
0.744484            0.754012
0.727308            0.739741
0.697839            0.696538
0.654334             0.65131
0.618452            0.602336
0.657315            0.615066
0.629521            0.588567
0.673417            0.545975
0.718963            0.534392
0.767513            0.542092
0.807807            0.591523
0.812136            0.591157
0.860717            0.582754
0.870423            0.600971
0.849774            0.613368
0.812361            0.581851
0.824258            0.569957
0.792037            0.556392
0.771834             0.58821
0.736394            0.541388
0.771828            0.491993
0.820264            0.492436
0.822779            0.537668
0.797533            0.552637
0.84055            0.555775
0.791699             0.57235
0.763017            0.602912
0.781825            0.638161
0.770403            0.654769
0.818819            0.647785
0.831787            0.675133
0.852154              0.7124
0.80599            0.663193
0.83612            0.699925
0.806952            0.704257
0.778562            0.744618
0.732682            0.735115
0.712722            0.741256
0.725245            0.728419
0.745822            0.697161
0.755617            0.669248
0.779283            0.631619
0.777706            0.664201
0.811875            0.682922
0.803804            0.686125
0.779876            0.697425
0.73669            0.691431
0.75084            0.695732
0.74547            0.646314
0.788783            0.642284
0.777863            0.690274
0.825178            0.653456
0.797467            0.640622
0.758674            0.678713
0.758674            0.678713
0.732355            0.670307
0.737791            0.652019
0.724538            0.659553
0.677607            0.696963
0.679179            0.741243
0.65668            0.708718
0.664432            0.717795
0.696761            0.751742
0.738544            0.726513
0.787368            0.677841
0.76209            0.645742
0.792244            0.620512
0.759148            0.572315
0.774324            0.609963
0.732059            0.606146
0.731254            0.589451
0.692479            0.602938
0.72814            0.592269
0.750167            0.596852
0.723689            0.582841
0.742992            0.543602
0.770527            0.560476
0.72443            0.607294
0.732144            0.629865
0.755317              0.6736
0.803423            0.645994
0.762842            0.598338
0.789263            0.572127
0.789726            0.550937
0.821353            0.590308
0.791838             0.59057
0.761388            0.572467
0.783607            0.576125
0.820488            0.602027
0.858709            0.598137
0.897794            0.607507
0.868071            0.615736
0.895408            0.647258
0.882006            0.651315
0.867567            0.675107
0.884853            0.692749
0.893499            0.649149
0.877019            0.618559
0.888939            0.627089
0.868378            0.625436
0.836174            0.672388
0.805939            0.650512
0.832382            0.615217
0.828218            0.656459
0.833007               0.687
0.784734            0.671485
0.796796            0.629519
0.779275            0.668998
0.779998            0.648444
0.778568            0.625202
0.780659            0.637729
0.830067            0.684519
0.879171            0.651246
0.829449            0.603817
0.834421            0.623258
0.831658             0.64183
0.825518            0.619802
0.832707            0.654263
0.81979            0.699422
0.839083            0.674283
0.809988            0.666671
0.806317            0.668772
0.817289            0.686651
0.820612            0.654968
0.846411            0.658916
0.810142            0.664584
0.8402            0.680599
0.873326            0.643144
0.842083            0.609704
0.875596            0.644245
0.828066            0.600009
0.836166            0.639256
0.799682            0.656749
0.784489            0.634657
0.770202            0.658632
0.77392            0.636771
0.73687            0.609549
0.71156            0.652426
0.662995            0.641795
0.623479            0.637514
0.655562            0.640217
0.677207            0.630746
0.697219            0.630515
0.736585            0.609472
0.706488            0.561696
0.701011            0.598013
0.704062            0.608279
0.685344            0.572646
0.714448            0.558837
0.719909            0.517739
0.718709            0.560123
0.719672            0.557298
0.750536            0.591285
0.765758            0.597971
0.779017            0.639473
0.744724            0.662871
0.74211            0.615587
0.701347            0.575551
0.651765            0.577384
0.682429             0.61852
0.673292            0.659543
0.719744            0.695421
0.752628            0.666834
0.771398            0.623483
0.81169            0.587483
0.812072            0.621089
0.776675            0.649992
0.780576            0.641091
0.752362            0.680834
0.753918            0.675722
0.722963            0.715621
0.740874            0.700999
0.731744            0.715623
0.690838             0.68119
0.695787            0.692944
0.688397            0.649913
0.660811            0.632814
0.678661            0.627945
0.643259            0.621627
0.679969            0.662217
0.668219            0.657095
0.671            0.663557
0.696111             0.65359
0.676481            0.633858
0.667453            0.632054
0.715487            0.677728
0.711409            0.720298
0.678692             0.72905
0.70913            0.713212
0.680692            0.753159
0.634219            0.722783
0.61829              0.7146
0.656868            0.679608
0.667765            0.669506
0.64191            0.683826
0.637059            0.697445
0.58845            0.667797
0.614208            0.707514
0.628654            0.709078
0.613117            0.721387
0.646685            0.757512
0.604706            0.762739
0.564011            0.801242
0.56855            0.763098
0.5765            0.777157
0.547779            0.763814
0.533695            0.756561
0.573935            0.787455
0.556542            0.797098
0.528571            0.755313
0.562521            0.743946
0.516204            0.724509
0.497483            0.680014
0.447856            0.708915
0.497752            0.687584
0.546339            0.684124
0.583876            0.676561
0.610916            0.695467
0.660885            0.724862
0.663695            0.728203
0.687741            0.734912
0.669354            0.713313
0.677744            0.674177
0.69677             0.65605
0.659669            0.686949
0.659669            0.686949
0.672176            0.642983
0.642246            0.607058
0.618743            0.650632
0.642414            0.662817
0.630731            0.683464
0.677516            0.715482
0.685357            0.685579
0.712329            0.658249
0.707472            0.628181
0.717397             0.64344
0.740782            0.618013
0.748829            0.602334
0.798502            0.582949
0.797151             0.60322
0.817315            0.641746
0.853962            0.626338
0.896548            0.625273
0.920122            0.600199
0.883579             0.58035
0.870996            0.587285
0.867729            0.586826
0.86737            0.566821
0.841115            0.574584
0.826162            0.612618
0.870068            0.594729
0.907597            0.626042
0.869195            0.617875
0.887762            0.646165
0.84198            0.676423
0.879347            0.658022
0.848205            0.700657
0.894233            0.657396
0.882347            0.637821
0.875792            0.647553
0.898569            0.611169
0.89717            0.609097
0.898429            0.581472
0.897872            0.532194
0.902013            0.504716
0.889682            0.467768
0.869866            0.468311
0.831419            0.492856
0.796455            0.497302
0.764383            0.510651
0.728676            0.509513
0.736991            0.502595
0.778614            0.477971
0.733285            0.520773
0.698119            0.535535
0.705293            0.576608
0.700976            0.566761
0.726542            0.543302
0.686242            0.591318
0.674704            0.570397
0.673176             0.59476
0.720672            0.629052
0.752401            0.656514
0.719468            0.675355
0.763711            0.673674
0.727253            0.653041
0.737897            0.686546
0.695654            0.720412
0.659484            0.701697
0.613412            0.658037
0.575479            0.644194
0.542206            0.639925
0.543981            0.649259
0.527633            0.685609
0.565226            0.655375
0.603476            0.628236
0.628911            0.638543
0.671074            0.670094
0.623478            0.634496
0.669592            0.658545
0.634687            0.678165
0.650053            0.643223
0.669539            0.603191
0.669539            0.603191
0.645496            0.648574
0.608218            0.609592
0.599049            0.562605
0.56746            0.612362
0.616347            0.629526
0.600437            0.620062
0.598671            0.607528
0.577519            0.628507
0.583162            0.674974
0.629061            0.670276
0.632607            0.649375
0.664125             0.66549
0.655549            0.626357
0.676032            0.674238
0.721007            0.677745
0.696346            0.703989
0.734279            0.752942
0.770013             0.75987
0.755765            0.768247
0.708306            0.747852
0.737247            0.727264
0.715753            0.743783
0.742424            0.722012
0.744191            0.726102
0.793203            0.697623
0.76208            0.721279
0.766576            0.741483
0.722039            0.712593
0.735744            0.700146
0.740041            0.733084
0.786045            0.698457
0.787476            0.659001
0.740059            0.642536
0.726854            0.614048
0.718237            0.601678
0.708262            0.596352
0.715478            0.557726
0.6791            0.588751
0.68793            0.543846
0.734808            0.529001
0.767743            0.566062
0.775398            0.605923
0.786806            0.601035
0.803294            0.605407
0.788389            0.614654
0.794576             0.64134
0.807124            0.661759
0.820576            0.650397
0.817117            0.666343
0.817501            0.674484
0.795175            0.720114
0.811612            0.687461
0.819903            0.701244
0.778799             0.66655
0.74984            0.648831
0.794109            0.636261
0.775261            0.625956
0.749862            0.666604
0.72217            0.705688
0.758961            0.719518
0.7719            0.736403
0.745933            0.771119
0.72824            0.776258
0.757829            0.801333
0.718114             0.79966
0.750181            0.759206
0.791001            0.788043
0.759581            0.753949
0.781066            0.740792
0.740799             0.74056
0.700674            0.701674
0.733894            0.725208
0.777781            0.725986
0.745799            0.729821
0.765204            0.732104
0.781647             0.73327
0.738322            0.690982
0.78044            0.729582
0.780294            0.696932
0.780294            0.696932
0.774247            0.688518
0.777825            0.649484
0.777792            0.687006
0.795957            0.699418
0.799034            0.731479
0.800067            0.746239
0.755507            0.777771
0.775462              0.8105
0.730619            0.844838
0.71995            0.837766
0.680311            0.812154
0.720111            0.814703
0.744327            0.805559
0.717935            0.765052
0.702339            0.728522
0.727703            0.695973
0.766407            0.657195
0.807771             0.63942
0.817111            0.622885
0.864081            0.621423
