#mu               sigma
0.815148            0.601887
0.833527            0.651277
0.867262            0.616159
0.852559            0.629039
0.887623             0.58343
0.896052            0.587883
0.879175            0.553242
0.880467            0.603128
0.859982            0.638938
0.87586            0.675485
0.878553            0.643789
0.920035            0.612991
0.876838            0.584611
0.891758            0.603347
0.904785            0.610598
0.875211            0.655192
0.875201            0.688391
0.87753              0.6412
0.917401            0.677688
0.912263            0.632314
0.867318            0.588938
0.823888            0.601654
0.841407            0.604903
0.811942            0.622849
0.776103            0.653414
0.793724             0.64984
0.822301            0.669584
0.810402            0.682277
0.778855            0.683716
0.753543            0.703749
0.7463            0.714967
0.747978            0.724928
0.723191            0.750414
0.766925            0.711789
0.8114             0.73781
0.808766             0.70588
0.851723            0.725684
0.81539             0.74143
0.787705            0.701354
0.788198            0.715516
0.760923            0.682513
0.760752             0.68572
0.737773            0.722758
0.770603            0.746226
0.750815            0.784643
0.754272            0.781488
0.735652            0.736141
0.740411            0.716029
0.771054            0.762788
0.729626            0.734843
0.750514            0.782134
0.701956            0.748484
0.652399            0.710863
0.616663            0.742539
0.59236            0.774623
0.621339            0.728787
0.604044            0.734418
0.651423            0.724304
0.632823            0.729456
0.673843            0.703936
0.708792            0.713291
0.747201            0.673281
0.719288            0.659708
0.706233            0.693542
0.75078            0.677293
0.761354            0.634993
0.753214            0.641362
0.783634            0.676816
0.819488            0.692906
0.864612             0.72458
0.837497            0.742768
0.837497            0.742768
0.836915            0.751448
0.8265            0.757293
0.792248            0.714861
0.78652            0.724769
0.819022            0.686991
0.811886            0.648721
0.764354            0.639495
0.723957            0.617332
0.770265            0.630501
0.753057            0.641439
0.792429            0.593182
0.748591            0.547043
0.730986            0.498172
0.697048            0.505947
0.740555            0.549616
0.702762            0.546571
0.745727            0.530546
0.781439            0.500675
0.783346            0.489135
0.822441            0.523823
0.824174            0.531311
0.794284            0.528939
0.796211            0.505043
0.818917            0.539012
0.778882            0.566926
0.811775            0.548913
0.829825            0.555197
0.853309            0.520509
0.879283            0.531825
0.92389            0.543952
0.911081            0.573997
0.953516            0.616908
0.950478            0.631175
0.907863            0.625391
0.92889            0.594099
0.900435            0.553067
0.948775            0.553368
0.991533            0.601173
0.969981            0.623394
0.989445             0.64209
0.977276            0.669879
1.00896             0.68853
1.02677            0.648138
1.00997             0.66404
0.988407            0.666473
1.01473             0.66508
1.05151            0.702222
1.0367             0.66291
1.04089            0.645474
1.03321            0.682645
1.06641            0.655408
1.0391            0.702662
