    1.0000   -0.2931   -0.0605
    5.0000   -0.3328   -0.1577
   12.0000   -0.3987   -0.1437
    8.0000   -0.7587   -0.2044
   23.0000   -0.7183   -0.0367
    3.0000   -0.9460    0.2202
   34.0000   -0.9787    0.7990
   13.0000   -0.7624    0.8072
   31.0000   -0.6742    0.3139
   24.0000   -0.4631    0.2346
    2.0000   -0.3658    0.1031
    6.0000   -0.0439    0.4153
   29.0000    0.0876    0.3897
   20.0000   -0.0549    0.6179
   19.0000   -0.0270    0.7641
   26.0000    0.0175    0.9790
   32.0000    0.2561    0.6344
   10.0000    0.5822    0.6821
    9.0000    0.8723    0.9185
    4.0000    0.8347    0.7021
   30.0000    0.5907    0.4478
   14.0000    0.3970    0.1334
   33.0000    0.4907   -0.0187
   16.0000    0.5212   -0.0779
   15.0000    0.7444    0.1181
   18.0000    0.9737   -0.3500
   27.0000    0.9600   -0.5790
   25.0000    0.7907   -0.8835
   11.0000    0.3887   -0.5702
   21.0000    0.3926   -0.5471
   28.0000    0.2271   -0.3831
    7.0000   -0.1519   -0.9035
   17.0000   -0.5347   -0.5464
   22.0000   -0.3678   -0.4594

