    1.0000    0.8306   -0.5568
    7.0000    0.8477   -0.5305
   19.0000    0.8690   -0.4948
   29.0000    0.8734   -0.4870
   20.0000    0.9389   -0.3441
   16.0000    0.9650   -0.2624
   12.0000    0.9997   -0.0235
   23.0000    1.0000   -0.0091
   25.0000    0.9846    0.1746
    3.0000    0.2982    0.9545
   33.0000    0.2963    0.9551
   14.0000    0.2410    0.9705
   22.0000   -0.7451    0.6670
   17.0000   -0.8428    0.5383
   24.0000   -0.8658    0.5003
   18.0000   -0.9781    0.2081
    8.0000   -0.9209   -0.3897
   28.0000   -0.8925   -0.4511
   32.0000   -0.8899   -0.4561
    6.0000   -0.8665   -0.4992
    2.0000   -0.8098   -0.5867
   15.0000   -0.7758   -0.6310
   34.0000   -0.7687   -0.6397
   21.0000   -0.6970   -0.7171
    9.0000   -0.6037   -0.7972
   27.0000   -0.5105   -0.8599
   10.0000   -0.4200   -0.9075
   26.0000    0.0706   -0.9975
    4.0000    0.4868   -0.8735
   11.0000    0.4963   -0.8682
   31.0000    0.5462   -0.8377
   13.0000    0.5834   -0.8122
   30.0000    0.6613   -0.7501
    5.0000    0.7408   -0.6717

