#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
           9     -0.6746   -0.681249  0.00153905
          10    -0.68948   -0.682072  0.00159009
          11    -0.67632   -0.681549   0.0015291
          12    -0.67968   -0.681393  0.00140958
          13    -0.67848   -0.681169  0.00131885
          14     -0.6762   -0.680814  0.00127151
          15    -0.68608   -0.681165  0.00123425
          16    -0.68532   -0.681425  0.00118411
          17     -0.6788   -0.681271  0.00112448
          18    -0.67924   -0.681158  0.00106765
          19     -0.6834   -0.681276  0.00101796
          20    -0.68364   -0.681394 0.000973905
# Temperatura= 1.3
           1    -0.64488    -0.64488           0
           2    -0.64204    -0.64346  0.00100409
           3    -0.65108      -0.646  0.00217926
           4     -0.6516     -0.6474  0.00203504
           5    -0.65204   -0.648328  0.00182741
           6    -0.65752    -0.64986  0.00206759
           7     -0.6508   -0.649994  0.00177657
           8    -0.65284    -0.65035  0.00158971
           9     -0.6424   -0.649467  0.00164023
          10    -0.64996   -0.649516  0.00147695
          11    -0.64432   -0.649044  0.00141621
          12    -0.64772   -0.648933  0.00130248
          13    -0.64316   -0.648489  0.00127576
          14    -0.64596   -0.648309  0.00119735
          15    -0.64896   -0.648352  0.00111832
          16    -0.65132   -0.648537   0.0010637
          17    -0.64536   -0.648351  0.00101742
          18    -0.65136   -0.648518 0.000974532
          19    -0.64524   -0.648345 0.000938386
          20      -0.652   -0.648528 0.000909086
# Temperatura= 1.4
           1     -0.6088     -0.6088           0
           2    -0.61924    -0.61402   0.0036911
           3    -0.62264   -0.616893  0.00339989
           4    -0.60404    -0.61368  0.00377441
           5    -0.61524   -0.613992   0.0030324
           6    -0.61572    -0.61428  0.00254064
           7    -0.61976   -0.615063  0.00229514
           8    -0.61048    -0.61449  0.00207851
           9    -0.61268   -0.614289  0.00185726
          10    -0.61456   -0.614316  0.00167174
          11    -0.60956   -0.613884  0.00157468
          12     -0.6218   -0.614543  0.00157559
          13     -0.6216   -0.615086  0.00154507
          14    -0.61624   -0.615169  0.00143691
          15    -0.61496   -0.615155  0.00134118
          16     -0.6068   -0.614632   0.0013552
          17    -0.61148   -0.614447  0.00128811
          18     -0.6148   -0.614467  0.00121669
          19    -0.62224   -0.614876   0.0012195
          20    -0.60868   -0.614566  0.00119723
# Temperatura= 1.5
           1       -0.59       -0.59           0
           2    -0.58976    -0.58988 8.48528e-05
           3    -0.57688   -0.585547   0.0035386
           4    -0.59196    -0.58715  0.00299524
           5     -0.5828    -0.58628  0.00251938
           6    -0.58576   -0.586193  0.00210097
           7    -0.58016   -0.585331  0.00196971
           8    -0.58068    -0.58475  0.00180727
           9    -0.58612   -0.584902  0.00161286
          10    -0.57964   -0.584376  0.00153502
          11    -0.57788   -0.583785  0.00150479
          12    -0.57164   -0.582773  0.00168575
          13    -0.57728   -0.582351  0.00160816
          14    -0.58656   -0.582651  0.00152114
          15    -0.58072   -0.582523  0.00142517
          16    -0.58048   -0.582395   0.0013418
          17     -0.5876   -0.582701  0.00129734
          18    -0.58152   -0.582636  0.00122692
          19    -0.58128   -0.582564  0.00116442
          20    -0.58528     -0.5827  0.00111409
# Temperatura= 1.6
           1    -0.55292    -0.55292           0
           2     -0.5564    -0.55466  0.00123037
           3    -0.55956   -0.556293  0.00156567
           4    -0.55412    -0.55575  0.00126502
           5    -0.55404   -0.555408  0.00105724
           6     -0.5488   -0.554307  0.00133678
           7    -0.55232   -0.554023  0.00117556
           8      -0.554    -0.55402  0.00102862
           9    -0.55496   -0.554124 0.000919612
          10     -0.5496   -0.553672 0.000932331
          11    -0.54464   -0.552851  0.00115381
          12    -0.55584     -0.5531  0.00108422
          13    -0.55276   -0.553074  0.00100113
          14    -0.54808   -0.552717 0.000991132
          15    -0.55636    -0.55296 0.000954346
          16    -0.55816   -0.553285 0.000948426
          17    -0.54948   -0.553061 0.000918667
          18     -0.5526   -0.553036 0.000867987
          19    -0.55312    -0.55304 0.000822315
          20    -0.55312   -0.553044 0.000781209
# Temperatura= 1.7
           1    -0.53304    -0.53304           0
           2      -0.529    -0.53102  0.00142836
           3    -0.52824   -0.530093  0.00121624
           4    -0.53548    -0.53144  0.00148061
           5    -0.53464    -0.53208  0.00131556
           6    -0.53328    -0.53228   0.0011114
           7    -0.52664   -0.531474  0.00120993
           8     -0.5296    -0.53124  0.00108113
           9    -0.52068   -0.530067  0.00146536
          10    -0.52944   -0.530004  0.00132016
          11    -0.53024   -0.530025  0.00120032
          12    -0.53084   -0.530093  0.00110221
          13     -0.5244   -0.529655    0.001101
          14    -0.52928   -0.529629  0.00102268
          15    -0.52392   -0.529248  0.00102287
          16    -0.53508   -0.529613  0.00102182
          17    -0.52776   -0.529504 0.000967508
          18    -0.52812   -0.529427 0.000916806
          19    -0.52488   -0.529187 0.000899241
          20    -0.53248   -0.529352 0.000869218
# Temperatura= 1.8
           1     -0.4998     -0.4998           0
           2    -0.50424    -0.50202  0.00156978
           3    -0.50636   -0.503467  0.00157811
           4    -0.50324    -0.50341   0.0011846
           5     -0.5026   -0.503248 0.000958692
           6    -0.51296   -0.504867  0.00167978
           7    -0.50188    -0.50444  0.00149302
           8        -0.5   -0.503885  0.00140576
           9    -0.51428    -0.50504  0.00165747
          10    -0.51644    -0.50618  0.00184252
          11    -0.50712   -0.506265    0.001677
          12    -0.50364   -0.506047  0.00155146
          13    -0.50408   -0.505895  0.00143947
          14    -0.51124   -0.506277  0.00138635
          15    -0.49304   -0.505395  0.00154955
          16    -0.50436    -0.50533  0.00145405
          17    -0.49844   -0.504925  0.00142388
          18    -0.50136   -0.504727  0.00135848
          19     -0.5102   -0.505015  0.00131717
          20    -0.50152    -0.50484  0.00126285
# Temperatura= 1.9
           1    -0.48644    -0.48644           0
           2    -0.47724    -0.48184  0.00325269
           3    -0.48516   -0.482947  0.00234919
           4    -0.47908    -0.48198  0.00195067
           5    -0.48132   -0.481848  0.00156499
           6      -0.479   -0.481373  0.00137426
           7    -0.48444   -0.481811  0.00124581
           8    -0.49036    -0.48288  0.00147899
           9    -0.48108    -0.48268  0.00132811
          10    -0.48108    -0.48252   0.0012049
          11     -0.4898   -0.483182  0.00126412
          12     -0.4838   -0.483233  0.00115983
          13    -0.48044   -0.483018  0.00109033
          14    -0.48156   -0.482914  0.00101741
          15    -0.47808   -0.482592 0.000999329
          16    -0.48328   -0.482635 0.000937796
          17     -0.4758   -0.482233 0.000964977
          18    -0.48916   -0.482618  0.00098512
          19    -0.47836   -0.482394 0.000958421
          20    -0.47964   -0.482256 0.000920336
# Temperatura= 2
           1    -0.45984    -0.45984           0
           2    -0.46408    -0.46196  0.00149907
           3    -0.45828   -0.460733  0.00141488
           4     -0.4622     -0.4611  0.00110766
           5    -0.46648   -0.462176  0.00130822
           6    -0.45944    -0.46172  0.00116695
           7    -0.46416   -0.462069  0.00105102
           8    -0.45976    -0.46178 0.000958436
           9    -0.47144   -0.462853  0.00132282
          10    -0.46008   -0.462576  0.00121926
          11     -0.4614   -0.462469   0.0011131
          12    -0.46012   -0.462273  0.00103741
          13    -0.46808    -0.46272  0.00104937
          14    -0.46252   -0.462706 0.000974513
          15    -0.46004   -0.462528 0.000925608
          16    -0.46064    -0.46241 0.000875246
          17    -0.46584   -0.462612 0.000846698
          18    -0.45908   -0.462416 0.000822079
          19    -0.46716   -0.462665 0.000815855
          20     -0.4584   -0.462452 0.000802452
# Temperatura= 2.1
           1    -0.44072    -0.44072           0
           2    -0.44424    -0.44248  0.00124451
           3    -0.44212    -0.44236 0.000835437
           4    -0.44348    -0.44264 0.000671863
           5    -0.45224    -0.44456  0.00179945
           6    -0.43716   -0.443327  0.00187516
           7    -0.44576   -0.443674  0.00163918
           8     -0.4454    -0.44389  0.00144841
           9    -0.44944   -0.444507  0.00141266
          10    -0.44104    -0.44416  0.00131324
          11    -0.44936   -0.444633  0.00127611
          12     -0.4422    -0.44443  0.00118576
          13     -0.4472   -0.444643  0.00111353
          14     -0.4468   -0.444797  0.00104459
          15     -0.4416   -0.444584 0.000996462
          16    -0.44284   -0.444475 0.000940125
          17    -0.44184    -0.44432 0.000897511
          18     -0.4398   -0.444069 0.000882078
          19    -0.43884   -0.443794 0.000877535
          20     -0.4444   -0.443824 0.000834182
# Temperatura= 2.2
           1    -0.42008    -0.42008           0
           2    -0.42368    -0.42188  0.00127279
           3    -0.42388   -0.422547  0.00100812
           4    -0.42304    -0.42267 0.000763593
           5    -0.42312    -0.42276 0.000616156
           6      -0.426     -0.4233  0.00071179
           7    -0.43292   -0.424674  0.00141106
           8    -0.42232    -0.42438  0.00126499
           9    -0.42076   -0.423978  0.00118666
          10    -0.42728   -0.424308  0.00111299
          11    -0.42824   -0.424665  0.00106767
          12    -0.42188   -0.424433  0.00100361
          13    -0.42968   -0.424837  0.00100429
          14    -0.42716   -0.425003 0.000946163
          15    -0.43172   -0.425451 0.000983364
          16    -0.42544    -0.42545 0.000921904
          17    -0.42584   -0.425473 0.000867959
          18     -0.4198   -0.425158  0.00087509
          19    -0.42744   -0.425278 0.000837236
          20    -0.42392    -0.42521 0.000798122
# Temperatura= 2.3
           1     -0.3992     -0.3992           0
           2    -0.41344    -0.40632   0.0050346
           3    -0.41428   -0.408973  0.00399486
           4    -0.40912    -0.40901  0.00299631
           5    -0.41248   -0.409704  0.00247612
           6    -0.40776    -0.40938  0.00208452
           7    -0.40628   -0.408937  0.00183317
