#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
# Temperatura= 0.5
          13     3.83409     3.60605   0.0662767
          14     3.47895     3.59698   0.0621614
          15     3.58471     3.59616   0.0580227
          16     4.06329     3.62535   0.0613031
          17     3.05502      3.5918   0.0662442
          18     3.72705     3.59932   0.0629887
          19     3.73702     3.60657   0.0600889
          20     3.91037     3.62176   0.0589733
# Temperatura= 1.4
           1     2.73977     2.73977           0
           2     2.83814     2.78896   0.0347796
           3     3.87209        3.15    0.295701
           4     2.80486     3.06371    0.234026
           5     3.39594     3.13016    0.196427
           6     2.83734     3.08136    0.169644
           7     3.29477     3.11184    0.148123
           8     2.47769     3.03258     0.14932
           9     3.14149     3.04468    0.133218
          10     2.42669     2.98288    0.133463
          11     3.16346     2.99929    0.122335
          12     3.14674     3.01158    0.112756
          13      2.9592     3.00755    0.104155
          14     3.27654     3.02677   0.0984713
          15     3.44997     3.05498   0.0958632
          16     2.42077     3.01534   0.0977236
          17     2.87346     3.00699   0.0923309
          18     2.87406     2.99961   0.0874963
          19     3.17714     3.00895   0.0833886
          20     3.44457     3.03073   0.0820144
# Temperatura= 1.5
           1     3.01051     3.01051           0
           2     2.44496     2.72773    0.199951
           3     2.35424     2.60324    0.167637
           4     2.66389      2.6184    0.126412
           5     2.44128     2.58298    0.105977
           6     2.70171     2.60276   0.0901425
           7     2.74323     2.62283    0.079467
           8     2.82291     2.64784   0.0733636
           9     2.67315     2.65065   0.0652659
          10     2.53147     2.63873   0.0598177
          11     2.57435     2.63288   0.0546653
          12     2.45619     2.61816   0.0520552
          13     2.37344     2.59933   0.0513419
          14     2.65784     2.60351   0.0478444
          15     2.29931     2.58323   0.0487639
          16     2.62723     2.58598   0.0457936
          17     2.98549     2.60948   0.0487586
          18     2.24192     2.58906   0.0501437
          19       2.218     2.56953   0.0511665
          20     2.54923     2.56852   0.0486183
# Temperatura= 1.6
           1     2.28062     2.28062           0
           2     2.13743     2.20902   0.0506288
           3      2.1042     2.17408   0.0441948
           4     2.24272     2.19124   0.0363253
           5     2.47643     2.24828   0.0587112
           6     2.09238      2.2223   0.0543728
           7     2.25603     2.22711   0.0468183
           8      2.2928     2.23533   0.0416797
           9     2.00172     2.20937   0.0444009
          10     2.24828     2.21326   0.0401309
          11     2.06735         2.2   0.0386126
          12     2.18083      2.1984   0.0354279
          13     2.06467     2.18811   0.0341634
          14     2.09713     2.18161   0.0323354
          15      2.3503     2.19286   0.0320757
          16     2.22112     2.19462   0.0301196
          17      2.0245     2.18462   0.0299643
          18     2.30097     2.19108   0.0289885
          19     2.15542     2.18921   0.0275235
          20      2.0767     2.18358    0.026716
# Temperatura= 1.7
           1     2.17071     2.17071           0
           2     1.87727     2.02399    0.103745
           3     1.82487     1.95762   0.0878661
           4     2.28106     2.03848   0.0961593
           5     2.15031     2.06084   0.0794859
           6     1.84416     2.02473   0.0739885
           7     1.89896     2.00676   0.0655638
           8     1.84915     1.98706   0.0602557
           9     1.86788     1.97382   0.0549964
          10     1.88807     1.96524   0.0501608
          11     2.03402      1.9715   0.0459888
          12     1.85929     1.96215   0.0430964
          13     1.87612     1.95553   0.0402862
          14     1.96548     1.95624   0.0374149
          15     1.88468     1.95147   0.0352234
          16     1.95544     1.95172   0.0330228
          17     1.91849     1.94976   0.0311381
          18     2.02184     1.95377   0.0296645
          19     1.67661     1.93918   0.0314861
          20     2.01106     1.94277   0.0301162
# Temperatura= 1.8
           1     1.90276     1.90276           0
           2     1.64778     1.77527   0.0901483
           3     1.66136      1.7373   0.0676242
           4     1.71371      1.7314   0.0509746
           5      1.6784      1.7208   0.0418673
           6      1.7308     1.72247   0.0349226
           7     1.68791     1.71753   0.0302805
           8     1.59487      1.7022   0.0301284
           9     1.65751     1.69723   0.0271868
          10     1.71129     1.69864   0.0245045
          11       1.654     1.69458   0.0226103
          12     1.67053     1.69258   0.0208147
          13     1.77847     1.69918    0.020235
          14      1.8702      1.7114   0.0221723
          15      1.5246     1.69895   0.0239373
          16     1.80536      1.7056   0.0233468
          17     1.74798     1.70809   0.0221062
          18     1.81738     1.71416   0.0216958
          19     1.90396     1.72415   0.0227376
          20     1.51522      1.7137   0.0238801
# Temperatura= 1.9
           1     1.60232     1.60232           0
           2     1.34013     1.47122    0.092698
           3     1.67013     1.53752   0.0821565
           4      1.5336     1.53654   0.0616232
           5     1.60272     1.54978   0.0506999
           6     1.57019     1.55318   0.0423639
           7     1.60375      1.5604   0.0369227
           8     1.60851     1.56642   0.0327933
           9     1.56522     1.56628   0.0291499
          10     1.41518     1.55117   0.0298958
          11     1.48206     1.54489   0.0278304
          12     1.55297     1.54556   0.0255193
          13     1.55579     1.54635   0.0235684
          14      1.4996     1.54301   0.0221202
          15     1.61749     1.54798   0.0211956
          16     1.35941     1.53619   0.0229143
          17     1.64577     1.54264   0.0224547
          18     1.48179     1.53926   0.0214601
          19     1.55808     1.54025   0.0203535
          20     1.57583     1.54203   0.0194135
# Temperatura= 2
           1      1.2762      1.2762           0
           2     1.36372     1.31996    0.030943
           3     1.32062     1.32018   0.0206294
           4     1.35772     1.32956    0.017477
           5     1.39128     1.34191   0.0178147
           6     1.46596     1.36258   0.0240128
           7     1.32838      1.3577   0.0210737
           8     1.28994     1.34923   0.0200694
           9     1.45914     1.36144   0.0212326
          10     1.27862     1.35316   0.0206615
          11       1.325      1.3506   0.0189411
          12     1.46308     1.35997   0.0195449
          13     1.39372     1.36257    0.018213
          14     1.45528     1.36919    0.018076
          15     1.42426     1.37286   0.0172397
          16     1.45962     1.37828   0.0169936
          17     1.41936      1.3807   0.0161649
          18     1.35654     1.37936   0.0153224
          19     1.44922     1.38303   0.0149507
          20      1.2574     1.37675   0.0154666
# Temperatura= 2.1
           1     1.29998     1.29998           0
           2     1.14446     1.22222    0.054986
           3     1.33029     1.25824   0.0469981
           4     1.25166      1.2566   0.0352774
           5      1.3375     1.27278   0.0317169
           6     1.16396     1.25464   0.0311877
           7     1.11181     1.23424   0.0327336
           8     1.22038      1.2325   0.0286876
           9     1.33893     1.24433   0.0278309
          10     1.23295     1.24319   0.0250711
          11     1.38663     1.25623   0.0259624
          12     1.25598     1.25621   0.0237988
          13     1.24905     1.25566   0.0219745
          14     1.20933     1.25235   0.0206526
          15     1.30912     1.25614   0.0196195
          16     1.27526     1.25733   0.0184296
          17      1.1019     1.24819   0.0194818
          18     1.28594     1.25029    0.018512
          19     1.32366     1.25415    0.017936
          20     1.18623     1.25075   0.0173577
# Temperatura= 2.2
           1    0.968582    0.968582           0
           2     1.07165     1.02012   0.0364417
           3     1.16745     1.06923   0.0468852
           4     1.15607     1.09094    0.039875
           5     1.16918     1.10659   0.0348353
           6     1.09942     1.10539   0.0290499
           7     1.17205     1.11492   0.0264147
           8     1.05055     1.10687   0.0243076
           9        1.16     1.11277    0.022312
          10       1.134      1.1149   0.0201816
          11     1.18889     1.12162   0.0194356
          12     1.11276     1.12088     0.01783
          13      1.1056     1.11971   0.0164972
          14     1.10998     1.11901   0.0153334
          15     1.12633      1.1195    0.014319
          16     1.10758     1.11876   0.0134434
          17     1.21216     1.12425   0.0137296
          18     1.03965     1.11955   0.0137477
          19     1.30893     1.12952   0.0162402
          20     1.02098     1.12409   0.0163097
# Temperatura= 2.3
           1     1.05405     1.05405           0
           2    0.950783     1.00242   0.0365113
           3     1.02663     1.01049   0.0252169
           4    0.957357    0.997204   0.0221361
           5     1.00303    0.998369   0.0177395
           6     1.10922     1.01684   0.0224269
           7     1.06146     1.02322   0.0201084
           8    0.999809     1.02029   0.0178065
           9    0.944104     1.01183   0.0177263
          10     1.00546     1.01119   0.0159651
          11     1.06901     1.01645   0.0153547
          12    0.981617     1.01354   0.0143468
          13    0.919096     1.00628   0.0149702
          14     1.09195      1.0124   0.0150998
          15    0.986313     1.01066   0.0141929
          16    0.971809     1.00823    0.013512
          17     1.00339     1.00795   0.0127202
          18     1.01242     1.00819   0.0120159
          19      1.0445     1.01011   0.0115345
          20     1.16318     1.01776   0.0132561
# Temperatura= 2.4
           1    0.997717    0.997717           0
           2     1.00805     1.00288  0.00365339
           3      0.9624    0.989389   0.0112842
           4     0.93865    0.976704   0.0138673
           5     0.95505    0.972373   0.0117506
           6    0.929467    0.965222   0.0117687
           7     1.00262    0.970564   0.0112347
           8     1.02863    0.977823   0.0119473
           9    0.963033     0.97618   0.0107322
          10    0.936883     0.97225   0.0103534
          11    0.943683    0.969653  0.00973248
          12    0.823633    0.957485   0.0146738
          13      0.9305    0.955409   0.0136911
          14     1.02923    0.960682    0.013691
          15    0.986333    0.962392   0.0128847
          16      0.9556    0.961968   0.0120864
          17    0.882667    0.957303   0.0122425
          18    0.979467    0.958534   0.0116241
          19      0.9805     0.95969   0.0110697
          20    0.971733    0.960293   0.0105326
# Temperatura= 2.5
           1    0.902432    0.902432           0
           2    0.960512    0.931472   0.0205344
           3    0.953136    0.938693   0.0149054
           4     1.03786    0.963484   0.0242054
           5    0.960768    0.962941   0.0193704
           6    0.945504    0.960035   0.0163586
           7    0.887168    0.949625   0.0170143
           8    0.890032    0.942176   0.0164375
           9    0.869088    0.934055   0.0164956
          10    0.827552    0.923405    0.017958
          11    0.953632    0.926153   0.0165344
          12    0.903056    0.924228   0.0152681
          13    0.987408    0.929088    0.014847
          14     0.94048    0.929902   0.0138088
          15    0.875584    0.926281   0.0133546
          16    0.882544    0.923547   0.0127966
          17     0.88912    0.921522   0.0122031
          18    0.943344    0.922734   0.0115852
          19    0.865856    0.919741   0.0113556
          20    0.871104    0.917309   0.0110452
# Temperatura= 2.6
           1    0.819323    0.819323           0
           2    0.880462    0.849892   0.0216157
           3    0.781308    0.827031   0.0235817
           4    0.816062    0.824288    0.017845
           5    0.769508    0.813332   0.0173157
           6    0.892877     0.82659   0.0188331
           7    0.853385    0.830418   0.0165271
           8    0.817523    0.828806   0.0145396
           9    0.781492    0.823549   0.0138419
          10    0.838431    0.825037   0.0125374
          11    0.845077    0.826859   0.0115293
          12    0.833262    0.827392   0.0105808
          13    0.811831    0.826195  0.00983439
          14      0.7992    0.824267  0.00931905
          15    0.738108    0.818523   0.0103172
          16    0.839585    0.819839    0.009756
          17    0.846738    0.821422  0.00930955
          18    0.760508    0.818038   0.0093873
          19    0.780677    0.816071  0.00909685
          20    0.834262    0.816981  0.00868735
# Temperatura= 2.7
           1    0.791081    0.791081           0
           2    0.710756    0.750919   0.0283995
           3    0.753941    0.751926   0.0189509
           4    0.757867    0.753411   0.0142712
           5    0.778859    0.758501   0.0122911
           6    0.732074    0.754096   0.0110035
           7    0.790296    0.759268   0.0105772
           8    0.737111    0.756498  0.00961081
           9    0.704874    0.750762   0.0101108
          10    0.788844     0.75457  0.00979066
          11    0.802681    0.758944   0.0098291
          12    0.812281    0.763389  0.00996443
          13    0.789393    0.765389  0.00939657
          14    0.717022    0.761934  0.00933891
          15    0.905852    0.771529   0.0127237
          16    0.803111    0.773503   0.0120806
          17    0.717911    0.770233   0.0118043
          18    0.784756     0.77104    0.011176
          19    0.807304    0.772948   0.0107495
          20    0.798504    0.774226   0.0102877
# Temperatura= 2.8
           1      0.8003      0.8003           0
           2    0.773943    0.787121  0.00931866
           3      0.7697    0.781314  0.00781513
           4    0.738471    0.770604   0.0109725
           5    0.751914    0.766866  0.00939309
           6    0.780914    0.769207  0.00811415
           7    0.697271    0.758931   0.0117853
           8    0.634271    0.743348   0.0178549
           9      0.7399    0.742965   0.0158752
          10      0.7368    0.742349   0.0142996
          11    0.696014    0.738136   0.0136059
          12    0.757957    0.739788   0.0125719
          13    0.738357    0.739678   0.0116054
          14    0.690686    0.736179   0.0112917
          15    0.681843    0.732556   0.0111047
          16    0.782971    0.735707   0.0108485
          17    0.792286    0.739035   0.0107087
          18    0.733786    0.738744   0.0101178
          19    0.722729    0.737901  0.00962031
          20    0.715929    0.736802  0.00920181
# Temperatura= 2.9
           1    0.667876    0.667876           0
           2    0.696731    0.682303   0.0102018
           3    0.664745    0.676451  0.00831229
           4    0.712772    0.685531   0.0100353
           5    0.698359    0.688097  0.00834971
           6    0.733131    0.695602  0.00976534
           7    0.715614    0.698461  0.00877878
           8    0.668662    0.694736  0.00843473
           9     0.68851    0.694044  0.00752586
          10    0.624221    0.687062  0.00947393
          11    0.615945    0.680597   0.0105914
          12    0.686938    0.681125  0.00972192
          13    0.720897    0.684185  0.00944318
          14     0.68629    0.684335  0.00876987
          15    0.705476    0.685744  0.00829769
          16      0.6948     0.68631  0.00779836
          17     0.72229    0.688427  0.00762142
          18    0.623628    0.684827  0.00800318
          19    0.656469    0.683334  0.00771988
          20    0.712124    0.684774  0.00746689
# Temperatura= 3
           1    0.674387    0.674387           0
           2     0.68764    0.681013  0.00468576
           3    0.614907    0.658978   0.0182611
           4    0.681693    0.664657   0.0145521
           5     0.66544    0.664813   0.0116425
           6    0.666013    0.665013  0.00970382
           7    0.661187    0.664467  0.00833294
           8    0.628827    0.660012  0.00839819
           9    0.645587    0.658409  0.00761646
          10    0.647227    0.657291  0.00693642
          11     0.63452    0.655221  0.00660751
          12     0.67004    0.656456  0.00617121
          13    0.615467    0.653303  0.00645188
          14    0.653493    0.653316  0.00599105
          15     0.64336    0.652652  0.00562829
          16    0.657773    0.652972  0.00528562
          17    0.612653    0.650601  0.00548104
          18      0.6288     0.64939  0.00530866
          19    0.590347    0.646282  0.00586872
          20     0.60108    0.644022  0.00599471
