#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
# Temperatura= 0.5
          12     4.26951     3.64845   0.0840848
          13     3.75225     3.65643   0.0779949
          14      3.6072     3.65292   0.0725031
          15     3.25262     3.62623   0.0724146
          16     3.61714     3.62566   0.0678909
          17     3.76157     3.63366   0.0643663
          18     3.68403     3.63645   0.0608512
          19     3.54548     3.63167   0.0578366
          20     3.37483     3.61882   0.0563524
# Temperatura= 1.4
           1     3.00626     3.00626           0
           2     3.21923     3.11274   0.0752968
           3       3.355      3.1935   0.0828681
           4         3.3     3.22012   0.0662908
           5     3.25286     3.22667    0.053355
           6       3.509     3.27372   0.0618229
           7     2.88289     3.21789    0.074028
           8     2.77797      3.1629   0.0827141
           9     3.03491     3.14868   0.0747361
          10     2.68274     3.10209   0.0804867
          11      2.8208     3.07651    0.077125
          12       3.025     3.07222   0.0708173
          13     2.89591     3.05866   0.0666558
          14     2.97006     3.05233   0.0621944
          15     3.24414     3.06512   0.0593481
          16     2.99526     3.06075   0.0557992
          17      3.2104     3.06955   0.0532068
          18     2.87171     3.05856   0.0513735
          19     3.35474     3.07415   0.0509799
          20      2.9352      3.0672    0.048902
# Temperatura= 1.5
           1     2.76139     2.76139           0
           2     2.39624     2.57881    0.129099
           3     2.35997     2.50587    0.104665
           4     2.78693     2.57613   0.0993234
           5     2.59339     2.57958   0.0795186
           6     2.66899     2.59448   0.0676472
           7     2.31237     2.55418   0.0689511
           8     2.57539     2.55683   0.0603831
           9     2.66408     2.56875   0.0548371
          10     2.68733     2.58061   0.0506193
          11     2.63272     2.58535   0.0462387
          12     2.44523     2.57367    0.043835
          13     2.43664     2.56313   0.0417112
          14     2.65824     2.56992   0.0392812
          15     2.77357      2.5835   0.0389381
          16     2.31701     2.56684   0.0399078
          17     2.49589     2.56267   0.0377779
          18     2.62456     2.56611   0.0358353
          19     2.79507     2.57816   0.0359182
          20     2.58219     2.57836   0.0341229
# Temperatura= 1.6
           1      2.1825      2.1825           0
           2      2.0965      2.1395   0.0304056
           3      1.9952      2.0914   0.0441961
           4     2.02937     2.07589    0.035764
           5     2.03235     2.06718   0.0296525
           6     2.00453     2.05674   0.0264857
           7     2.06795     2.05834   0.0227504
           8     2.34085     2.09366   0.0385672
           9     2.44993     2.13324   0.0506769
          10     2.44335     2.16425   0.0542743
          11     2.00432     2.14971   0.0512506
          12     2.23235      2.1566   0.0474401
          13     2.27997     2.16609   0.0447301
          14     2.07742     2.15976   0.0419811
          15       2.361     2.17317   0.0412704
          16     2.09197      2.1681   0.0390018
          17     2.13568     2.16619   0.0367542
          18     2.14448     2.16498   0.0347321
          19     2.25108     2.16952   0.0331983
          20     1.96333     2.15921   0.0331005
# Temperatura= 1.7
           1     1.90911     1.90911           0
           2     1.85576     1.88244    0.018859
           3     1.98849     1.91779   0.0314848
           4     1.97221     1.93139   0.0263902
           5     1.87165     1.91944   0.0236633
           6     1.81235      1.9016     0.02558
           7     2.01101     1.91723   0.0262708
           8     2.06541     1.93575   0.0287857
           9     1.77278     1.91764   0.0307601
          10     2.02205     1.92808   0.0294026
          11     1.70979     1.90824   0.0327489
          12     1.67111     1.88848   0.0354844
          13     1.82151     1.88332   0.0331267
          14     2.11002     1.89952   0.0344918
          15     1.88153     1.89832   0.0322132
          16     1.88101     1.89724    0.030218
          17     1.89407     1.89705   0.0284411
          18     1.83304     1.89349   0.0270825
