#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
           4     0.03552      0.0378  0.00465858
           5     0.07662    0.045564   0.0078812
           6     0.06842   0.0493733  0.00743147
           7      0.0862   0.0546343  0.00801863
           8     0.04876      0.0539  0.00704984
           9     0.09502   0.0584689  0.00760425
          10     0.07468     0.06009   0.0070145
          11     0.07138   0.0611164  0.00645147
          12     0.06464     0.06141  0.00592052
          13     0.06978   0.0620538      0.0055
          14     0.00276   0.0578186  0.00653752
          15       0.053   0.0574973  0.00610957
          16     0.05872   0.0575737   0.0057282
          17     0.04248   0.0566859  0.00545963
          18      0.0837   0.0581867  0.00535862
          19     0.04572   0.0575305   0.0051166
          20     0.06052     0.05768  0.00486295
# Temperatura= 1.4
           1     0.01524     0.01524           0
           2      0.0733     0.04427   0.0205273
           3     0.08588     0.05814   0.0177631
           4     0.04356    0.054495   0.0136912
           5     0.06866    0.057328   0.0112422
           6     0.05088   0.0562533  0.00941975
           7     0.09588   0.0619143  0.00962595
           8     0.06362   0.0621275  0.00842507
           9     0.07256   0.0632867  0.00756827
          10     0.07058    0.064016   0.0068465
          11     0.06632   0.0642255  0.00622729
          12     0.07932   0.0654833  0.00583401
          13     0.03788     0.06336  0.00575869
          14     0.06718   0.0636329  0.00535382
          15     0.07742    0.064552  0.00507518
          16     0.04306   0.0632087  0.00493254
          17     0.09656   0.0651706  0.00501739
          18     0.10336   0.0672922  0.00516779
          19     0.03678   0.0656863  0.00513926
          20      0.0347    0.064137   0.0051105
# Temperatura= 1.5
           1     0.06932     0.06932           0
           2      0.0585     0.06391  0.00382545
           3     0.04156     0.05646  0.00659588
           4     0.06786     0.05931  0.00552846
           5     0.04688    0.056824  0.00495025
           6     0.08902     0.06219  0.00640409
           7      0.0481   0.0601771  0.00579692
           8     0.07732     0.06232    0.005454
           9     0.05668   0.0616933  0.00488387
          10     0.03384    0.058908   0.0051286
          11     0.04606     0.05774  0.00479352
          12     0.03704    0.056015  0.00469419
          13      0.0542   0.0558754  0.00433518
          14     0.07716   0.0573957  0.00428382
          15     0.05356     0.05714  0.00400586
          16     0.06464   0.0576087  0.00378282
          17     0.05542     0.05748  0.00356249
          18     0.03458   0.0562078  0.00358455
          19     0.04358   0.0555432  0.00345695
          20      0.0187    0.053701  0.00374289
# Temperatura= 1.6
           1      0.0547      0.0547           0
           2     0.00128     0.02799   0.0188868
           3     0.02042   0.0254667   0.0127587
           4     0.00958    0.021495   0.0101684
           5     0.04564    0.026324  0.00921027
           6     0.04634     0.02966  0.00825731
           7     0.05946   0.0339171  0.00810111
           8      0.0654   0.0378525  0.00798734
           9     0.05072   0.0392822  0.00722668
          10      0.0566    0.041014   0.0067083
          11     0.07006   0.0436545  0.00659771
          12      0.0145    0.041225  0.00647981
          13     0.07262     0.04364  0.00641563
          14     0.03212   0.0428171  0.00600991
          15       0.011    0.040696  0.00597185
          16     0.06048   0.0419325  0.00572519
          17     0.04592   0.0421671  0.00539321
          18     0.07152   0.0437978  0.00533443
          19     0.04254   0.0437316  0.00505408
          20     0.05528    0.044309  0.00483425
# Temperatura= 1.7
           1     0.01868     0.01868           0
           2     0.06856     0.04362   0.0176352
           3    -0.01174   0.0251667   0.0191113
           4     0.04184    0.029335    0.014781
           5     0.04076     0.03162   0.0120001
           6     0.04868   0.0344633   0.0103315
           7     0.04904   0.0365457  0.00906298
           8     0.05924   0.0393825   0.0083623
           9     0.03012   0.0383533  0.00749622
          10     0.05226    0.039744  0.00687438
          11     0.06576   0.0421091  0.00664384
          12     0.03258    0.041315  0.00613746
          13     0.01304     0.03914  0.00603845
          14     0.03286   0.0386914  0.00562377
          15      0.0311   0.0381853  0.00527158
          16     0.04448   0.0385787  0.00495676
          17     0.04524   0.0389706  0.00468065
          18      0.0543   0.0398222  0.00449742
          19     0.04126   0.0398979  0.00426135
          20       0.042    0.040003  0.00404958
# Temperatura= 1.8
           1      0.0439      0.0439           0
           2     0.04476     0.04433 0.000304056
           3     0.02874   0.0391333   0.0042479
           4     0.02226    0.034915  0.00484725
           5     0.02114     0.03216  0.00459449
           6      0.0348      0.0326  0.00384976
           7      0.0245   0.0314429  0.00346934
           8     0.04682    0.033365  0.00352819
           9      0.0412   0.0342356  0.00324179
          10     0.04462    0.035274  0.00307945
          11      0.0247   0.0343127  0.00294571
          12     0.02938   0.0339017  0.00272877
          13     0.04568   0.0348077  0.00266503
          14     0.03152   0.0345729    0.002485
          15     0.03926   0.0348853   0.0023389
          16      0.0228     0.03413  0.00231146
          17     0.03088   0.0339388  0.00218339
          18     0.03748   0.0341356  0.00207093
          19      0.0035   0.0325232  0.00251241
          20      0.0193    0.031862  0.00247225
# Temperatura= 1.9
           1     0.04612     0.04612           0
           2      0.0201     0.03311  0.00919946
           3     0.01518   0.0271333  0.00783754
           4     0.00808     0.02237  0.00718121
           5     0.02364    0.022624  0.00574946
           6      0.0272   0.0233867  0.00484153
           7     0.06908   0.0299143  0.00733105
           8     0.03246   0.0302325  0.00642157
           9     0.02936   0.0301356  0.00570879
          10     0.03312    0.030434  0.00514571
          11     0.04272   0.0315509   0.0047976
          12     0.02594   0.0310833  0.00442053
          13      0.0141   0.0297769  0.00426917
          14     0.01344     0.02861  0.00412062
          15     0.00988   0.0273613  0.00403067
          16      0.0454   0.0284887  0.00393327
          17     0.02776   0.0284459  0.00370213
          18     0.01862      0.0279  0.00353648
          19     0.03052   0.0280379  0.00335303
          20     0.02566    0.027919  0.00318749
# Temperatura= 2
           1     0.02322     0.02322           0
           2     0.03606     0.02964  0.00453963
           3     0.04762   0.0356333  0.00575377
           4     0.02126     0.03204  0.00532035
           5     0.03366    0.032364  0.00426613
           6      0.0305   0.0320533   0.0035664
           7     0.02706     0.03134  0.00312744
           8     0.04462       0.033  0.00314637
           9     0.03056   0.0327289  0.00280843
          10     0.01098    0.030554  0.00326279
          11      0.0088   0.0285764  0.00351478
          12     0.04038     0.02956   0.0033567
          13     0.02092   0.0288954  0.00316361
          14     0.03006   0.0289786  0.00293873
          15     0.03874   0.0296293  0.00281394
          16     0.02852     0.02956  0.00263893
          17      0.0257   0.0293329  0.00249344
          18      0.0364   0.0297256  0.00238563
          19     0.02322   0.0293832  0.00228451
