# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
     4.24264    0.033072   0.0373048  0.00516717
      4.4312   0.0126935   0.0278178   0.0092561
     4.61976   0.0250188   0.0261777  0.00727345
     4.80833   0.0189544   0.0302386   0.0118942
     4.99689   0.0306167   0.0718254   0.0208762
     5.18545 0.000687465  0.00933479  0.00254601
     5.37401   0.0527384   0.0199954  0.00871906
     5.56257   0.0412233   0.0170393  0.00802693
#blocco numero 6
   0.0942809  0.00282352  0.00707516  0.00220447
    0.282843   0.0432612   0.0604151   0.0118164
    0.471405    0.125929    0.167606   0.0514931
    0.659966    0.205208    0.263234   0.0152257
    0.848528    0.243559    0.316496   0.0217444
     1.03709    0.465242    0.421256   0.0196916
     1.22565    0.447761    0.461211   0.0264713
     1.41421    0.479409    0.427006    0.017394
     1.60278    0.551126    0.441021   0.0221058
     1.79134    0.481618    0.448587   0.0140911
      1.9799    0.463597    0.413076   0.0144112
     2.16846    0.318689    0.330797   0.0181491
     2.35702    0.319156    0.298879    0.021514
     2.54558    0.121387     0.19276   0.0248181
     2.73415    0.174174    0.171412  0.00526366
     2.92271    0.175254    0.131298   0.0125215
     3.11127    0.212549    0.112564   0.0205757
     3.29983    0.101843   0.0784488  0.00669729
     3.48839   0.0704161   0.0602514   0.0105312
     3.67696   0.0527875   0.0518381   0.0107253
     3.86552   0.0220725   0.0560734  0.00982797
     4.05408   0.0583609   0.0687383   0.0134402
     4.24264   0.0149524   0.0335794  0.00548698
      4.4312  0.00112941   0.0233697  0.00871691
     4.61976   0.0406832   0.0285953  0.00645049
     4.80833   0.0102138   0.0269012   0.0103695
     4.99689  0.00481225   0.0606565   0.0201644
     5.18545 0.000834779  0.00791812  0.00248475
     5.37401   0.0281124   0.0213482  0.00737009
     5.56257   0.0574033   0.0237666  0.00908066
#blocco numero 7
   0.0942809  0.00820047  0.00723592   0.0018954
    0.282843   0.0383753   0.0572665   0.0105395
    0.471405     0.10749    0.159018   0.0448474
    0.659966    0.207025    0.255204   0.0150195
    0.848528    0.404524    0.329071   0.0219756
     1.03709     0.47958    0.429588   0.0185577
     1.22565    0.452499    0.459967   0.0227189
     1.41421    0.506809    0.438406   0.0182671
     1.60278    0.500082    0.449458   0.0204948
     1.79134    0.449946    0.448781   0.0120794
      1.9799     0.38611    0.409224    0.012857
     2.16846    0.355223    0.334287   0.0158883
     2.35702    0.271377    0.294951   0.0187959
     2.54558    0.177906    0.190638   0.0213632
     2.73415    0.156472    0.169278  0.00492544
     2.92271    0.198579    0.140909   0.0139419
     3.11127     0.11051    0.112271   0.0176384
     3.29983    0.133098   0.0862558   0.0092302
     3.48839    0.039431   0.0572771  0.00943741
     3.67696   0.0742217   0.0550358  0.00965804
     3.86552   0.0658493     0.05747  0.00852262
     4.05408   0.0401185   0.0646498   0.0121261
     4.24264   0.0157626   0.0310341  0.00526044
      4.4312   0.0332929   0.0247873  0.00758603
     4.61976   0.0406095   0.0303116   0.0057528
     4.80833   0.0107048   0.0245874  0.00914263
     4.99689  7.3657e-05   0.0520018   0.0190507
     5.18545 0.000122762   0.0068045  0.00236621
     5.37401  0.00353553   0.0188036  0.00674222
