# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
blocco numero 1
     3.28627  0.00393965  0.00110575 0.000690875
     3.42611           0  0.00015891 0.000142134
     3.56595           0 0.000251608 0.000225045
     3.70579           0 0.000238366 0.000213201
     3.84563           0 0.000278093 0.000248734
     3.98547           0 1.98638e-05 1.77667e-05
     4.12531           0 2.64851e-05  2.3689e-05
blocco numero 6
   0.0699206  0.00824348  0.00941324  0.00119735
    0.209762   0.0711455   0.0751679  0.00238595
    0.349603    0.184634    0.196773  0.00367679
    0.489444    0.336394     0.35138  0.00420604
    0.629285     0.52073    0.526617   0.0113154
    0.769126    0.655075    0.651433   0.0109564
    0.908968    0.764094    0.755851  0.00708367
     1.04881    0.833088    0.791457    0.011802
     1.18865    0.774026    0.757473   0.0134534
     1.32849    0.719003    0.694477  0.00866821
     1.46833    0.604886    0.589359  0.00931016
     1.60817    0.517882    0.504794   0.0102865
     1.74801     0.37877    0.392625  0.00885749
     1.88786    0.283622    0.299336  0.00753999
      2.0277     0.16573    0.202881  0.00811879
     2.16754    0.119017    0.135631  0.00332722
     2.30738   0.0810774   0.0855523  0.00324372
     2.44722   0.0552214   0.0512541  0.00221956
     2.58706   0.0328084   0.0332388   0.0028148
      2.7269   0.0222806   0.0211384  0.00190034
     2.86674   0.0117859   0.0123321 0.000995234
     3.00659  0.00559497  0.00748755 0.000886807
     3.14643  0.00400587  0.00297405 0.000507236
     3.28627 0.000496595  0.00100423 0.000583141
     3.42611 0.000728339 0.000253815 0.000146748
     3.56595  0.00062902  0.00031451 0.000196132
     3.70579           0 0.000198638 0.000181331
     3.84563           0 0.000231744 0.000211553
     3.98547           0 1.65532e-05 1.51109e-05
     4.12531           0 2.20709e-05 2.01479e-05
blocco numero 7
   0.0699206  0.00794552  0.00920356   0.0010445
    0.209762     0.07098   0.0745697  0.00211878
    0.349603    0.183575    0.194888  0.00360269
    0.489444    0.369103    0.353912  0.00430021
    0.629285    0.530827    0.527218  0.00971485
    0.769126    0.656201    0.652114  0.00941232
    0.908968    0.741284     0.75377  0.00637005
     1.04881    0.763333    0.787439   0.0107782
     1.18865    0.761446    0.758041   0.0115435
     1.32849    0.721321    0.698312  0.00823458
     1.46833    0.615745    0.593128  0.00870983
     1.60817    0.508447    0.505316   0.0088302
     1.74801    0.389331    0.392154  0.00760462
     1.88786    0.324906    0.302989  0.00729416
      2.0277    0.192712    0.201428  0.00708775
     2.16754    0.125341    0.134161  0.00316003
     2.30738   0.0828321   0.0851637  0.00280351
     2.44722   0.0549896   0.0517878  0.00196558
     2.58706   0.0194334   0.0312666  0.00302571
      2.7269   0.0130108   0.0199773  0.00195159
     2.86674  0.00787931    0.011696   0.0010366
     3.00659  0.00370791   0.0069476 0.000909768
     3.14643  0.00340995  0.00303632 0.000438579
     3.28627  0.00321131  0.00131952 0.000578832
     3.42611           0 0.000217556 0.000130186
     3.56595           0  0.00026958 0.000173183
     3.70579           0 0.000170261 0.000157631
     3.84563           0 0.000198638 0.000183903
     3.98547           0 1.41884e-05 1.31359e-05
     4.12531           0 1.89179e-05 1.75146e-05
blocco numero 8
   0.0699206   0.0105609  0.00937323 0.000927614
    0.209762   0.0755487    0.074692  0.00185747
    0.349603    0.211682    0.196987  0.00371396
    0.489444    0.359369    0.354594  0.00381642
    0.629285    0.501329    0.523982  0.00902342
    0.769126    0.611375    0.647022  0.00951418
    0.908968    0.736583    0.751622  0.00592501
     1.04881    0.771146    0.785402  0.00962143
     1.18865    0.764194     0.75881   0.0101261
     1.32849    0.675171    0.695419  0.00769658
     1.46833     0.58873    0.592579  0.00763844
     1.60817    0.523875    0.507636  0.00802536
     1.74801    0.425714    0.396349  0.00772495
     1.88786    0.320171    0.305137  0.00669113
      2.0277    0.221879    0.203985  0.00664679
     2.16754    0.137987    0.134639  0.00280098
     2.30738   0.0987893   0.0868669  0.00292504
     2.44722   0.0548241   0.0521673  0.00175615
     2.58706    0.037973   0.0321049  0.00276119
      2.7269   0.0134412   0.0191603  0.00187086
     2.86674  0.00632331   0.0110244  0.00110333
     3.00659  0.00225123  0.00636056 0.000967076
     3.14643  0.00205259  0.00291336 0.000400624
     3.28627           0  0.00115458 0.000529457
     3.42611           0 0.000190361 0.000116719
     3.56595           0 0.000235883 0.000154779
     3.70579           0 0.000148979 0.000139357
     3.84563           0 0.000173808 0.000162583
     3.98547           0 1.24149e-05 1.16131e-05
     4.12531           0 1.65532e-05 1.54841e-05
blocco numero 9
   0.0699206  0.00963394   0.0094022 0.000824998
    0.209762   0.0803822   0.0753243  0.00175539
    0.349603    0.208537     0.19827  0.00351603
    0.489444    0.352053    0.354311   0.0034028
    0.629285    0.526325    0.524243  0.00802457
    0.769126    0.649215    0.647266  0.00846017
    0.908968    0.758764    0.752415  0.00531956
     1.04881    0.817429    0.788961  0.00918689
     1.18865    0.740192    0.756741  0.00920989
     1.32849    0.735656     0.69989  0.00803564
     1.46833    0.635311    0.597327  0.00813259
     1.60817    0.474381    0.503941  0.00793885
     1.74801    0.368805    0.393289  0.00744825
     1.88786    0.259719    0.300091  0.00761653
      2.0277    0.193473    0.202817  0.00600999
     2.16754    0.133981    0.134566  0.00249072
     2.30738   0.0853481   0.0866981   0.0026049
     2.44722   0.0534005   0.0523043  0.00156635
     2.58706   0.0285046   0.0317048   0.0024832
      2.7269   0.0189368   0.0191355  0.00166315
     2.86674  0.00718408   0.0105977  0.00106005
     3.00659  0.00347617  0.00604007 0.000911182
     3.14643  0.00400587  0.00303475 0.000374049
     3.28627  0.00231744  0.00128379 0.000486138
     3.42611  0.00142357 0.000327385 0.000165691
     3.56595  0.00162221 0.000389919 0.000200048
     3.70579 0.000893871 0.000231744 0.000146402
     3.84563           0 0.000154496  0.00014566
     3.98547           0 1.10354e-05 1.04043e-05
     4.12531           0 1.47139e-05 1.38724e-05
blocco numero 10
   0.0699206   0.0126135  0.00972333 0.000802568
    0.209762   0.0833949   0.0761313   0.0017556
    0.349603    0.206617    0.199105  0.00326199
    0.489444    0.367282    0.355608  0.00330047
    0.629285    0.503978    0.522216  0.00747361
    0.769126     0.66898    0.649437  0.00788789
    0.908968    0.750752    0.752249   0.0047902
     1.04881    0.784223    0.788487  0.00828041
     1.18865    0.736053    0.754672  0.00851808
     1.32849    0.712813    0.701182  0.00733524
     1.46833    0.600615    0.597656  0.00732598
     1.60817     0.50027    0.503574  0.00715344
     1.74801    0.392939    0.393254  0.00670351
     1.88786    0.294249    0.299506  0.00687724
      2.0277    0.209861    0.203521  0.00545012
     2.16754    0.171987    0.138308  0.00419858
     2.30738   0.0804153   0.0860699  0.00241899
     2.44722   0.0399925   0.0510732  0.00183072
     2.58706   0.0197314   0.0305075  0.00250698
      2.7269  0.00966705   0.0181886  0.00174568
     2.86674  0.00301268   0.0098392  0.00119499
     3.00659  0.00152289  0.00558835 0.000925283
     3.14643           0  0.00273127 0.000442964
     3.28627           0  0.00115541 0.000454159
     3.42611           0 0.000294646 0.000152322
     3.56595           0 0.000350927 0.000183804
     3.70579           0  0.00020857 0.000133583
     3.84563           0 0.000139047 0.000131911
     3.98547           0  9.9319e-06 9.42223e-06
